

Software Version	3.15.15



Experiment File Path:	C:\Users\Public\Documents\Experiments\bnext\20240709-PURE-diff DNA conc.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\bnext\PURE Fluorescence plamGFP.prt



Plate Number	Plate 1
Date	7/9/2024
Time	3:41:06 PM
Reader Type:	Cytation5
Reader Serial Number:	2305311F
Reading Type	Reader

Procedure Details

Plate Type	384 WELL PLATE
Well Selection	Runtime
Eject plate on completion	
Set Temperature	Setpoint 37°C, Gradient 0 °C
	Preheat before moving to next step
Start Kinetic	Runtime 6:00:00 (HH:MM:SS), Interval 0:05:00, 73 Reads
    Read	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 490/10,  Emission: 520/10
	    Optics: Top,  Gain: 100
	Light Source: Xenon Flash,  Lamp Energy: High,  Standard Dynamic Range
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 7 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A																									Well ID
B	SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8																	Well ID
C	SPL9	SPL10	SPL11	SPL12	SPL13	SPL14	SPL15	SPL16																	Well ID
D																									Well ID
E																									Well ID
F																									Well ID
G																									Well ID
H																									Well ID
I																									Well ID
J																									Well ID
K																									Well ID
L																									Well ID
M																									Well ID
N																									Well ID
O																									Well ID
P																									Well ID

490,520

Time	T° 490,520	B1	B2	B3	B4	B5	B6	B7	B8	C1	C2	C3	C4	C5	C6	C7	C8
0:00:00	37.0	289	281	289	273	272	273	268	258	277	269	269	259	285	276	266	263
0:05:00	37.1	312	293	276	280	258	266	239	247	263	277	262	264	263	242	270	266
0:10:00	37.0	449	439	330	318	269	262	259	253	246	272	236	244	257	254	348	357
0:15:00	37.0	982	806	543	422	330	286	284	246	262	260	258	230	221	259	674	605
0:20:00	37.0	1880	1530	982	693	463	328	307	243	264	245	245	257	215	247	1291	1117
0:25:00	37.0	3161	2644	1657	1064	709	435	372	250	270	262	267	258	241	240	2029	1781
0:30:00	37.0	4846	4065	2601	1526	986	517	462	240	250	264	265	387	241	255	2910	2581
0:35:00	36.9	6747	5656	3601	2241	1374	633	565	241	306	255	257	855	238	234	3942	3529
0:40:00	37.0	8842	7634	4660	3011	1796	825	694	241	376	263	268	1758	256	253	5042	4469
0:45:00	37.1	10989	9718	5818	3796	2327	1010	830	252	598	242	277	3372	242	257	6123	5349
0:50:00	37.1	13163	11611	7090	4731	2874	1164	1015	229	1000	261	253	5519	253	281	7157	6224
0:55:00	37.0	15536	13878	8457	5650	3472	1363	1216	242	1646	253	264	8068	232	289	8308	7234
1:00:00	37.0	17704	15832	9754	6700	4047	1644	1329	254	2528	256	271	10850	240	343	9208	8159
1:05:00	37.0	20189	18038	11113	7488	4674	1850	1544	217	3785	264	306	14167	249	376	10129	8905
1:10:00	37.1	22162	19848	12679	8452	5376	2061	1758	219	5123	264	344	17155	246	427	11088	9759
1:15:00	37.0	24399	21969	13995	9491	6004	2197	1902	239	6888	254	380	20349	241	516	11936	10456
1:20:00	37.0	26567	24024	15477	10315	6608	2502	2072	231	8583	245	452	23470	241	628	12809	11201
1:25:00	37.1	28349	25661	16671	11313	7129	2653	2241	236	10242	266	488	26384	246	783	13701	11997
1:30:00	37.0	30232	27464	18052	12091	7850	2839	2424	257	12223	288	569	28820	253	871	14377	12540
1:35:00	37.1	32194	29482	19338	13055	8473	3050	2718	253	13982	281	687	31354	248	1093	15270	13144
1:40:00	37.1	33987	30645	20465	13936	9022	3245	2915	254	15695	255	804	33571	261	1227	15795	13817
1:45:00	37.1	35855	32260	21808	14659	9506	3449	2975	245	17625	265	918	35785	272	1430	16357	14408
1:50:00	37.0	37206	33768	22855	15644	9967	3560	3225	256	19115	269	1034	37853	243	1623	16970	14847
1:55:00	37.0	38984	35319	23877	16127	10603	3788	3315	249	20829	276	1199	39214	240	1754	17563	15300
2:00:00	37.0	40256	36503	25062	16830	11100	3913	3529	256	22409	257	1352	40565	252	1919	17945	15865
2:05:00	37.0	41361	37595	25912	17473	11340	3946	3665	232	23741	250	1524	41762	239	2104	18401	16153
2:10:00	37.0	42877	39035	26739	18111	11797	4146	3721	257	25079	262	1688	42956	248	2257	18836	16287
2:15:00	37.0	43748	40114	27429	18581	12217	4212	3806	233	26619	254	1823	43744	266	2468	19182	16554
2:20:00	37.0	45108	41095	28081	18982	12586	4334	3940	242	27418	279	1972	44372	237	2572	19412	16902
2:25:00	37.0	46043	41727	28955	19245	12917	4464	4008	244	28855	269	2108	44933	250	2716	19515	17156
2:30:00	37.0	47018	42719	29421	19858	13311	4556	4047	243	29522	274	2275	45238	249	2851	19536	17260
2:35:00	37.0	47193	42940	29980	20210	13432	4690	4140	229	30433	270	2375	45703	248	2929	19754	17456
2:40:00	37.0	48260	43796	30624	20554	13639	4780	4240	243	31191	266	2494	46071	261	3055	19913	17670
2:45:00	37.0	48504	44560	30823	20751	13987	4759	4290	232	31504	280	2630	46117	256	3202	19928	17657
2:50:00	37.0	48845	45253	31154	21041	14030	4771	4320	244	32241	263	2683	46417	244	3249	20016	17726
2:55:00	37.1	49371	45431	31526	21324	14294	4862	4450	240	32850	251	2855	46134	254	3378	19780	17747
3:00:00	37.1	49896	45888	32056	21437	14555	4939	4386	268	33192	268	2957	46682	265	3461	20335	17739
3:05:00	37.0	50330	45898	32241	21581	14596	4973	4496	251	33488	281	3077	46642	242	3457	20172	17719
3:10:00	37.1	50279	46429	32151	21738	14868	4974	4426	246	33744	248	3117	46806	255	3508	20188	17603
3:15:00	37.0	50649	46268	32539	21947	14711	4965	4488	252	33939	277	3134	46828	260	3573	20127	17627
3:20:00	37.0	50639	46955	32722	21902	15001	5063	4498	253	34091	289	3174	46676	253	3644	19893	17656
3:25:00	37.1	50599	46637	32737	21884	14845	5018	4541	239	34222	265	3283	46645	256	3660	20171	17704
3:30:00	37.0	50621	46811	32706	22053	14986	5054	4555	238	34442	273	3398	46590	251	3740	20109	17596
3:35:00	37.0	50749	46768	32669	22011	15100	5094	4599	265	34764	266	3361	46796	253	3755	20059	17545
3:40:00	37.0	50362	46881	33066	21821	15205	5125	4478	247	34810	256	3464	46919	256	3750	20164	17314
3:45:00	37.0	50745	46821	32953	22110	15269	5069	4582	262	34948	278	3509	46721	260	3800	20144	17642
3:50:00	37.0	50477	47066	32932	22129	15264	5121	4576	245	34812	282	3482	46873	268	3904	20194	17451
3:55:00	37.0	50458	46636	32880	21892	15165	5078	4538	243	34826	251	3464	46897	266	3824	20023	17227
4:00:00	37.0	50303	46499	32591	21958	15023	5097	4544	257	34992	283	3529	46461	274	3840	20134	17548
4:05:00	37.0	50366	46575	32964	21955	15047	5164	4516	248	35067	276	3639	46579	249	3926	19958	17418
4:10:00	37.1	50069	46485	32599	22050	15012	5075	4493	245	35126	277	3641	47054	260	3929	20040	17375
4:15:00	37.0	50186	46556	32897	21871	15070	5023	4480	234	35367	276	3609	46780	251	3962	20128	17387
4:20:00	37.0	49627	46215	32523	21846	15057	5083	4478	235	35268	267	3639	46779	230	3992	20205	17192
4:25:00	37.1	49737	46333	32592	21844	14961	5098	4428	263	35341	273	3655	46673	262	3879	20034	17147
4:30:00	37.0	50014	46190	32445	21725	15073	5049	4488	268	35292	284	3571	46586	250	4011	20078	17231
4:35:00	37.0	49492	46315	32302	21735	14964	5088	4493	239	35281	262	3705	46873	249	3910	20071	17104
4:40:00	37.0	49617	45932	32335	21744	14936	5095	4482	234	35508	271	3696	46583	266	3989	20192	16941
4:45:00	37.1	49364	45900	32130	21558	14758	5101	4373	266	35536	275	3690	46697	246	4008	20027	17250
4:50:00	37.0	49230	46069	32042	21264	14758	5071	4405	251	35531	294	3702	46409	254	4041	20043	17087
4:55:00	37.0	49265	45995	32118	21397	14778	5030	4401	243	35536	276	3717	46514	277	3995	20209	16963
5:00:00	37.1	49205	45463	31875	20698	14666	5060	4377	260	35543	281	3619	46490	251	4038	20138	17079
5:05:00	37.0	48795	45579	31635	20797	14602	4948	4331	241	35435	264	3738	46025	264	3993	19940	16822
5:10:00	37.0	48818	45770	31803	20350	14868	4942	4302	241	35535	275	3730	46183	263	4005	20174	16872
5:15:00	37.1	48949	45526	31665	20386	14618	5016	4297	253	35652	285	3751	46095	248	3966	19870	16838
5:20:00	37.1	48826	45557	31516	20206	14652	5081	4357	260	35404	274	3794	44894	261	4038	19889	16870
5:25:00	37.0	48432	45244	31147	20164	14554	4994	4377	259	35600	284	3780	44857	270	4022	19997	16812
5:30:00	37.1	48482	45196	30998	20059	14466	5049	4409	248	35894	284	3778	44480	263	4028	19945	16839
5:35:00	37.0	48281	45159	30872	19945	14415	4907	4327	264	35560	282	3807	44481	259	4140	19983	16793
5:40:00	37.0	48365	44978	30497	19783	14550	5068	4392	250	35544	295	3781	43921	258	4031	20121	16772
5:45:00	37.0	47927	44942	30581	19943	14527	4938	4319	234	35496	264	3688	44188	272	4013	19958	16751
5:50:00	37.0	48008	44955	30417	19999	14371	5076	4313	258	35525	267	3791	43792	259	3978	19887	16660
5:55:00	37.0	48054	44900	30185	19808	14156	4989	4269	263	35549	269	3691	44015	260	4010	19884	16755
6:00:00	37.1	48074	44459	30453	19672	14209	4900	4321	230	35725	284	3711	43798	251	4025	20013	16731

Max V [490,520]

Well ID	SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8	SPL9	SPL10	SPL11	SPL12	SPL13	SPL14	SPL15	SPL16	
Well	B1	B2	B3	B4	B5	B6	B7	B8	C1	C2	C3	C4	C5	C6	C7	C8	
Max V [490,520]	458820.000	417220.000	286560.000	190260.000	129040.000	45620.000	43260.000	1500.000	364760.000	1940.000	32660.000	628440.000	-3640.000	36820.000	216940.000	185300.000	

R-Squared [490,520]

Well ID	SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8	SPL9	SPL10	SPL11	SPL12	SPL13	SPL14	SPL15	SPL16	
Well	B1	B2	B3	B4	B5	B6	B7	B8	C1	C2	C3	C4	C5	C6	C7	C8	
R-Squared [490,520]	1.000	0.999	0.999	0.999	0.999	0.997	0.990	0.566	0.999	0.729	1.000	1.000	0.948	0.996	1.000	0.999	

t at Max V [490,520]

Well ID	SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8	SPL9	SPL10	SPL11	SPL12	SPL13	SPL14	SPL15	SPL16	
Well	B1	B2	B3	B4	B5	B6	B7	B8	C1	C2	C3	C4	C5	C6	C7	C8	
t at Max V [490,520]	0:55:00	0:55:00	1:10:00	1:15:00	1:10:00	1:00:00	1:30:00	4:20:00	1:35:00	1:25:00	2:00:00	1:10:00	0:10:00	1:40:00	0:45:00	0:50:00	

Lagtime [490,520]

Well ID	SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8	SPL9	SPL10	SPL11	SPL12	SPL13	SPL14	SPL15	SPL16	
Well	B1	B2	B3	B4	B5	B6	B7	B8	C1	C2	C3	C4	C5	C6	C7	C8	
Lagtime [490,520]	0:21:49	0:22:34	0:27:02	0:26:58	0:30:43	0:30:33	0:39:00	4:26:00	0:57:30	1:26:08	1:26:37	0:43:03	?????	1:13:35	0:18:02	0:17:29	

