reagent,unit,stock_conc,base_conc,vol_per_rxn_ul,vol_to_pipette_ul,below_min_pipetting_vol,base_master_mix_fold,base_master_mix_vol_to_add_ul,effective_pipetting_scalar,total_master_mix_volume_ul
hepes,mM,1500.0,50.0,0.167,8.342,False,1.535829,3.534,2.5025,176.855
potassium_glutamate,mM,2500.0,100.0,0.2,10.01,False,1.535829,3.534,2.5025,176.855
magnesium_acetate,mM,1000.0,6.412,0.032,1.605,False,1.535829,3.534,2.5025,176.855
atp,mM,100.0,2.0,0.1,5.005,False,1.535829,3.534,2.5025,176.855
gtp,mM,100.0,2.0,0.1,5.005,False,1.535829,3.534,2.5025,176.855
ctp,mM,50.0,1.0,0.1,5.005,False,1.535829,3.534,2.5025,176.855
utp,mM,50.0,1.0,0.1,5.005,False,1.535829,3.534,2.5025,176.855
creatine_phosphate,mM,1000.0,20.0,0.1,5.005,False,1.535829,3.534,2.5025,176.855
tcep,mM,500.0,1.0,0.01,0.5,False,1.535829,3.534,2.5025,176.855
folinic_acid,mM,5.0,0.02,0.02,1.001,False,1.535829,3.534,2.5025,176.855
spermidine,mM,200.0,2.0,0.05,2.502,False,1.535829,3.534,2.5025,176.855
amino_acid_solution,mM,3.25,0.3,0.462,23.1,False,1.535829,3.534,2.5025,176.855
trna,ug/ul,35.0,2.607,0.372,18.64,False,1.535829,3.534,2.5025,176.855
rnas_inh,U/ml,40000.0,2000.0,0.25,12.512,False,1.535829,3.534,2.5025,176.855
dna,nM,92.0,3.0,0.163,8.16,False,1.535829,3.534,2.5025,176.855
ribosome,uM,10.0,1.233,0.616,30.856,False,1.535829,3.534,2.5025,176.855
pmix,mg/ml,15.0,1.24,0.413,20.687,False,1.535829,3.534,2.5025,176.855
water,x,,,0.278,13.914,False,1.535829,3.534,2.5025,176.855
