Well,pmix mg/ml,ribosome uM,trna ug/ul,magnesium_acetate mM
J12,0.802,0.534,0.737,2.77
H14,1.078,0.944,1.713,10.516
I10,0.925,0.458,1.63,3.832
I12,0.212,0.73,1.345,8.452
G14,1.118,1.087,0.192,3.409
J10,1.253,1.365,2.51,1.452
G11,0.277,1.152,2.029,2.562
H13,0.173,0.366,2.403,0.207
H12,0.461,0.839,0.928,7.274
I13,1.45,0.606,1.237,4.586
J13,0.977,1.405,1.447,0.0
I14,0.573,0.657,1.902,1.215
J11,0.359,0.257,0.553,5.584
G12,1.176,0.067,2.271,11.12
I11,0.0,0.149,0.149,10.319
H11,0.66,0.907,2.153,9.329
H10,0.737,0.0,0.366,7.806
J14,1.383,0.309,0.0,8.943
G10,0.496,1.299,1.122,6.019
G13,0.088,1.192,0.641,6.318
