conditions,pmix mg/ml,ribosome uM,trna ug/ul,magnesium_acetate mM,hepes mM,potassium_glutamate mM,atp mM,gtp mM,ctp mM,utp mM,creatine_phosphate mM,tcep mM,folinic_acid mM,spermidine mM,amino_acid_solution mM,dna nM,rnas_inh U/ml
0,2.0419532963583027,1.7670841170185962,3.344442786012185,9.181579182564382,50.0,100.0,2.0,2.0,1.0,1.0,20.0,1.0,0.02,2.0,0.3,3.0,2000.0
1,2.3179366989084267,2.176828323627243,4.320343290976327,16.928361416833827,50.0,100.0,2.0,2.0,1.0,1.0,20.0,1.0,0.02,2.0,0.3,3.0,2000.0
2,2.165391477549334,1.6912210546578326,4.23651527166802,10.24394100669084,50.0,100.0,2.0,2.0,1.0,1.0,20.0,1.0,0.02,2.0,0.3,3.0,2000.0
3,1.4517101159939503,1.9632928790046877,3.9515305476612417,14.863656766929134,50.0,100.0,2.0,2.0,1.0,1.0,20.0,1.0,0.02,2.0,0.3,3.0,2000.0
4,2.3584061409738126,2.320213705792187,2.79870071385102,9.821001360526761,50.0,100.0,2.0,2.0,1.0,1.0,20.0,1.0,0.02,2.0,0.3,3.0,2000.0
5,2.493143419493597,2.59841055239026,5.116529021645701,7.864127327206681,50.0,100.0,2.0,2.0,1.0,1.0,20.0,1.0,0.02,2.0,0.3,3.0,2000.0
6,1.5166212377194679,2.3854020969111023,4.6358258619875325,8.973717740527663,50.0,100.0,2.0,2.0,1.0,1.0,20.0,1.0,0.02,2.0,0.3,3.0,2000.0
7,1.4134282880949338,1.598771328506816,5.010095203562675,6.619494160539475,50.0,100.0,2.0,2.0,1.0,1.0,20.0,1.0,0.02,2.0,0.3,3.0,2000.0
8,1.7005630981396385,2.072215522047385,3.535436075949576,13.686317184549429,50.0,100.0,2.0,2.0,1.0,1.0,20.0,1.0,0.02,2.0,0.3,3.0,2000.0
9,2.69025588709984,1.8393221305330552,3.8437999645055037,10.998111603190495,50.0,100.0,2.0,2.0,1.0,1.0,20.0,1.0,0.02,2.0,0.3,3.0,2000.0
10,2.2172136060845755,2.637549135295662,4.053713548474691,6.412580015170775,50.0,100.0,2.0,2.0,1.0,1.0,20.0,1.0,0.02,2.0,0.3,3.0,2000.0
11,1.8125805148953598,1.88964267318774,4.5092217228833515,7.627003137641854,50.0,100.0,2.0,2.0,1.0,1.0,20.0,1.0,0.02,2.0,0.3,3.0,2000.0
12,1.5988128372018768,1.4895185637293018,3.1600126221596727,11.995582638149397,50.0,100.0,2.0,2.0,1.0,1.0,20.0,1.0,0.02,2.0,0.3,3.0,2000.0
13,2.4159806716873398,1.3001361857555975,4.878039760438879,17.53156258138682,50.0,100.0,2.0,2.0,1.0,1.0,20.0,1.0,0.02,2.0,0.3,3.0,2000.0
14,1.2405813168346245,1.382344410303533,2.755777912757447,16.731281955878416,50.0,100.0,2.0,2.0,1.0,1.0,20.0,1.0,0.02,2.0,0.3,3.0,2000.0
15,1.8998697778657148,2.139667784539265,4.759780035358837,15.741000685550386,50.0,100.0,2.0,2.0,1.0,1.0,20.0,1.0,0.02,2.0,0.3,3.0,2000.0
16,1.977396125999956,1.2334815449506502,2.9731090153975055,14.217629941162432,50.0,100.0,2.0,2.0,1.0,1.0,20.0,1.0,0.02,2.0,0.3,3.0,2000.0
17,2.6226886624074046,1.5422461958075728,2.607994607487315,15.354882813765219,50.0,100.0,2.0,2.0,1.0,1.0,20.0,1.0,0.02,2.0,0.3,3.0,2000.0
18,1.7359947695048876,2.5324545385600996,3.7294833730177537,12.431169664786804,50.0,100.0,2.0,2.0,1.0,1.0,20.0,1.0,0.02,2.0,0.3,3.0,2000.0
19,1.3279804681674987,2.425356261395483,3.2484080790530743,12.729661074536152,50.0,100.0,2.0,2.0,1.0,1.0,20.0,1.0,0.02,2.0,0.3,3.0,2000.0
