Well,Name,pmix mg/ml,ribosome uM,trna ug/ul,magnesium_acetate mM,hepes mM,potassium_glutamate mM,atp mM,gtp mM,ctp mM,utp mM,creatine_phosphate mM,tcep mM,folinic_acid mM,spermidine mM,amino_acid_solution mM,dna nM,rnas_inh U/ml,pmix mg/ml conc_to_add,pmix mg/ml vol_to_pipette_ul,ribosome uM conc_to_add,ribosome uM vol_to_pipette_ul,trna ug/ul conc_to_add,trna ug/ul vol_to_pipette_ul,magnesium_acetate mM conc_to_add,magnesium_acetate mM vol_to_pipette_ul,base_master_mix_vol_to_add_ul,total_titration_vol_to_add_ul,buffer_vol_to_add_ul,total_vol_check_ul
J12,1,2.0419532963583027,1.7670841170185962,3.344442786012185,9.181579182564382,50.0,100.0,2.0,2.0,1.0,1.0,20.0,1.0,0.02,2.0,0.3,3.0,2000.0,0.802,0.267,0.534,0.267,0.737,0.105,2.77,0.014,3.534,0.653,0.813,5.0
H14,2,2.3179366989084267,2.176828323627243,4.320343290976327,16.928361416833827,50.0,100.0,2.0,2.0,1.0,1.0,20.0,1.0,0.02,2.0,0.3,3.0,2000.0,1.078,0.359,0.944,0.472,1.713,0.245,10.516,0.053,3.534,1.129,0.337,5.0
I10,3,2.165391477549334,1.6912210546578326,4.23651527166802,10.24394100669084,50.0,100.0,2.0,2.0,1.0,1.0,20.0,1.0,0.02,2.0,0.3,3.0,2000.0,0.925,0.308,0.458,0.229,1.63,0.233,3.832,0.019,3.534,0.789,0.677,5.0
I12,4,1.4517101159939505,1.9632928790046875,3.9515305476612417,14.863656766929134,50.0,100.0,2.0,2.0,1.0,1.0,20.0,1.0,0.02,2.0,0.3,3.0,2000.0,0.212,0.071,0.73,0.365,1.345,0.192,8.452,0.042,3.534,0.67,0.796,5.0
G14,5,2.3584061409738126,2.320213705792187,2.79870071385102,9.82100136052676,50.0,100.0,2.0,2.0,1.0,1.0,20.0,1.0,0.02,2.0,0.3,3.0,2000.0,1.118,0.373,1.087,0.544,0.192,0.027,3.409,0.017,3.534,0.961,0.505,5.0
J10,6,2.493143419493597,2.59841055239026,5.116529021645701,7.864127327206681,50.0,100.0,2.0,2.0,1.0,1.0,20.0,1.0,0.02,2.0,0.3,3.0,2000.0,1.253,0.418,1.365,0.682,2.51,0.359,1.452,0.007,3.534,1.466,0.0,5.0
G11,7,1.516621237719468,2.3854020969111023,4.6358258619875325,8.973717740527663,50.0,100.0,2.0,2.0,1.0,1.0,20.0,1.0,0.02,2.0,0.3,3.0,2000.0,0.277,0.092,1.152,0.576,2.029,0.29,2.562,0.013,3.534,0.971,0.495,5.0
H13,8,1.4134282880949338,1.598771328506816,5.010095203562675,6.619494160539475,50.0,100.0,2.0,2.0,1.0,1.0,20.0,1.0,0.02,2.0,0.3,3.0,2000.0,0.173,0.058,0.366,0.183,2.403,0.343,0.207,0.001,3.534,0.585,0.881,5.0
H12,9,1.7005630981396385,2.072215522047385,3.535436075949576,13.686317184549427,50.0,100.0,2.0,2.0,1.0,1.0,20.0,1.0,0.02,2.0,0.3,3.0,2000.0,0.461,0.154,0.839,0.42,0.928,0.133,7.274,0.036,3.534,0.743,0.723,5.0
I13,10,2.69025588709984,1.8393221305330552,3.843799964505504,10.998111603190496,50.0,100.0,2.0,2.0,1.0,1.0,20.0,1.0,0.02,2.0,0.3,3.0,2000.0,1.45,0.483,0.606,0.303,1.237,0.177,4.586,0.023,3.534,0.986,0.48,5.0
